o a	elementary knowledge ; rudiments of any subject
i	yonder ; that
it͡ɕʰon̪	like this
ɽini	without any debts ; not indebted
oŋɕo	part
oŋɕo	domain
oŋɕok	a mantissa
oŋɕo kora	to divide into parts or shares ; apportion
oŋɕoɡot̪	included in a part or share ; relating to part or share
oŋɕoɡroɦon	participation ; sharing
oŋɕoɡraɦi	taking a share, participating
oŋɕoɡraɦi	a sharer, a shareholder ; a participant, a party
oŋɕot̪	partly, in part ; partially
oŋɕon̪	dividing ; sharing
oŋɕon̪ie̯	divisible into parts or shares ; to be divided into parts
oŋɕopreʂ	partial pressure
oŋɕob̤ak	en joying a share ; having a claim to a share
oŋɕob̤ak	a share, a shareholder ; a claimant to a share
oŋɕaŋɕo	fraction of fraction ; minute fraction
oŋɕaŋɕi	division into respective shares
oŋɕan̪	to descend as an inheritance
oŋɕan̪kon̪	graduation, marking
oŋɕan̪kit̪	marked with measured distance or degrees
oŋɕabt̪ar	demi-god, partial incarnation
oŋɕit̪	divided into parts or shares ; partitioned
oŋɕi	entitled to a share
oŋɕi	a partner or shareholder ; co-sharer
oŋɕid̪a	integral
oŋɕid̪ar	a partner or shareholder
oŋɕid̪ari	relating to partnership
oŋɕid̪ari	partnership
oŋɕid̪ari t͡ɕukt̪i	partnership agreement
oŋɕid̪arit̪bo	partnership ; fellowship
oŋɕid̪arit̪ber	partnership
oŋɕid̪ari	Having partnership
oŋɕu	ray
oŋɕuk	fine cotton fabric ; silk cloth
oŋɕuman̪	luminous ; radiant
oŋɕumal̪a	a stream of rays
oŋɕumal̪i	the sun ; the sun-god
oŋɕul̪	having rays ; full of rays
oŋs̪o	shoulder
oŋs̪okut	a bull's hump
oŋs̪oɸl̪ok	shoulder blade, the scapula
oŋs̪ol̪	bull-necked ; robust, strong
okot͡ɕ	alopecoid ; having no hair
okont͡ɕuk	skinless ; achlamydeous
oktu	not acrid or bitter or pungent
oktʰin̪	not hard or difficult ; not severe
oktʰor	not rigorous or strict ; not rude or severe
okt̪ʰon̪	unspeakable ; inde scribable
okt̪ʰon̪	bad or abusive language ; ob scene words
okt̪ʰa-kukt̪ʰa	abusive or obscene language
okt̪ʰit̪	untold ; unspoken
okot̪ʰd͡zo	unspeakable, unutterable ; ob scene, filthy
okot̪ʰd͡zokt̪ʰon̪	uttering foul or filthy language
okon̪tok	thornless ; free from trouble and difficulty
okon̪toke	in peace and safety ; with nothing standing in the way
okpot	frank ; straightforward
okpotot͡ɕit̪t̪e	open-heartedly
okpotot̪a	frankness ; candour, sincerity,
okpote	Frankly ; sincerely
okompo	not trembling or trembled ; undaunted
okroni	arational quantity or number
okronie̯	that which should not be done
okrun	merciless ; unkind
okroti	the acrania
okorno	earless ; deaf
okorno	an earless or deaf person
okort̪obd͡zo	that which should not be done ; improper
okort̪ɽit̪bo	lack of ruling or controlling power ; lack of authority
okormo	a misdeed, a mischief ; a useless act
okormok	intransitive
okormoko krie̯a	intransitive verb
okormond͡zo	disabled ; inefficient
okormond͡zot̪a	incompetence, inefficiency ; useless ness
okorma	having no employment or occupation ; grossly inefficient
okormaro d̪̤aɽi	an inveterate bungler ; a good-for-nothing or worthless fellow
okorʂit̪	unploughed, uncultivated ; fallow
okl̪oŋko	spotless ; clean, pure
okl̪oŋkit̪	unstained, unsullied, unblemished ; undefiled, unpolluted
okl̪uʂ	uncorrupted ; unblemished
okl̪uʂit̪	undefiled, unpolluted ; uncorrupted
okol̪pon̪ie̯	unimaginable ; anecdotal
okol̪pon̪ie̯	unimaginable ; anecdotal
okol̪pit̪	not imaginary or fanciful ; real
okol̪pit̪purbo	un premeditated ; unthought-of
okol̪d͡zan	harm, injury ; spiritual or moral harm
okol̪d͡zankor	harmful, injurious ; inauspicious
okoʂtokol̪pon̪a	spontaneous  imagination or  composition
okoʂtokol̪pit̪	not forced or far-fetched
okos̪mat̪	all at once ; unexpectedly, unawares
okos̪mat̪	Suddenly ; all on a sudden
okad͡ʑ	a useless act ; a mischief
okad͡ʑero kad͡ʑi	a mischief maker, wrongdoer
okatd͡zo	irrefutable
okatd͡zo proman	a conclusive evidence
okatd͡zo d͡zukt̪i	incontrovertible or irrefutable argument
okat̪or	un perturbed, undistressed ; unflinching
okat̪re	unperturbedly ; feeling no distress, un flinchingly
okam	Free from desire or passion
okamd͡zo	undesirable, unwanted
okae̯	bodiless, incorporeal, disembodied ; formless, shapeless
okaron	unnecessary ; purposeless, causeless
okaron	without cause ; unnecessarily, for nothing
okarne	without cause ; groundlessly
okarad̪ikrome	in the alphabetical order
okard͡zo	a misdeed ; a useless act
okard͡zokor	impractiable ; ineffectual
okard͡zokarit̪a	ineffectiveness
okard͡zokari	ineffective, inffectual, useless
okal̪	an inauspicious time ; hard times
okal̪kuʂmando	a useless or stupid person
okal̪od͡ʑ	born at an unusual time ; untimely or prematurely born
okal̪d͡ʑol̪od̪d̪e̯o	unseasonable accumulation of clouds
okal̪pokko	prematurely ripened ; precocious, pert
okal̪pokkot̪a	premature ripeness ; precocity, pertness
okal̪borʂon	untimely rain
okal̪bard̪̤okd͡zo	premature ageing
okal̪bɽid̪d̪̤o	gone old prematurely
okal̪bod̪̤on̪	any untimely performance
okal̪moron	premature death
okal̪i	an Akali
okal̪e	at an inauspicious time ; at an unusual time
okint͡ɕon̪	indigent, extremely poor ; distressed, miserable
okint͡ɕon̪	one who is indigent ; one who is distressed, miserable
okint͡ɕon̪t̪a	indigence, extreme poverty ; distressed condition, misery
okint͡ɕit̪	trifling, insignificant, paltry ; negligible
okint͡ɕit̪kor	Trifling ; paltry
okik	agate
okirt̪i	ill-repute, infamy ; disgrace
okirt̪ikor	infamous, disreputable, disgraceful
okirt̪it̪	unsung ; not preached or announced publicly
oku	an incident ; an event
okutil̪	not crooked ; frank
okuntʰo	unhesitating ; unabashed
okuntʰot͡ɕit̪t̪e	with no hesitation  ; unhesitatingly
okut̪b̤e̯o	undaunted
okut̪b̤e̯o	Without fear from any quarter ; fearless
okut̪b̤e̯ot̪a	fear lessness
okul̪	unrespectable
okul̪on̪	deficiency, deficit, shortage ; insufficiency
okul̪o s̪omud̪re poɽa	to be at sea
okul̪in̪	not born of a high family ; not a high-born
okuɕol̪	not adroit or skilful, inexpert
okuɕol̪	indisposition
okus̪t̪ʰol̪	Place or scene of occurrence
okus̪ɦol̪	the place of occurrence
okul̪	shoreless ; boundless, end less
okul̪	a shoreless sea ; an overwhelming or extreme danger
okul̪o pat̪ʰar	boundless or shoreless sea ; great danger, extreme jeopardy
okul̪e b̤as̪a	to get into a great danger ; to be in extreme danger
okɽit̪	undone, unaccomplished
okɽit̪kard͡zo	unsuccessful
okɽit̪kard͡zot̪a	failure
okɽit̪od͡ʑno	ungrateful
okɽit̪od͡ʑnot̪a	ingratitude ; ungratefulness
okɽit̪d̪ar	unmarried ; celibate
okɽit̪aprad̪̤	not guilty ; guiltless
okɽit̪art̪ʰo	unsuccessful in attempt ; disappointed
okɽit̪it̪bo	unsuccess, failure ; want of skill
okɽit̪i	unsuccessful ; unskilled
okɽit̪t̪im	Not artificial ; natural
okɽit̪d͡zo	an improper act
okɽit̪rim	not artificial ; natural
okɽit̪rimt̪a	sincerity
okɽipon	not niggardly or miserly ; lib eral, generous
okɽipnot̪a	generousness
okɽiʂto	untilled, uncultivated
okɽiʂd͡zo	uncultivable
oked͡ʑ	having no ability for any work ; not in working order
okeɕro poraɡkoʂ	sessile anther
okojt̪ob	not false ; not deceitful
okmol̪	not soft or tender ; not fragile
okowɕol̪	lack of skill or adroitness ; want of tact
okka	Death
okka pae̯a	to die
oktopas̪	octopus
oktobor	october
okt̪o	smeared with ; mixed with
okt̪o	time
okrom	absence of serial order ; disorder
okromik	without serial order ; dis orderly
okromiko d͡ʑid͡ʑnas̪a	an unofficial reference
okrie̯	without work ; inactive
okrie̯a	absence of work ; inaction
okrie̯an̪bit̪	given to improper acts or wrong-doings
okrur	not crooked ; not cruel or merci less
okrur	uncle of Krishna
okree̯	unpurchasable ; costly or dear or expensive
okrod̪̤	free from anger
okrod̪̤	absence of anger
okrod̪̤on̪	not angered or wrought up easily
okl̪an̪t̪o	untired, unwearied ; untiring, tireless
okl̪an̪t̪okorma	indefatigable ; indefatigably laborious or hard working
okl̪an̪t̪ob̤abe	Untiringly ; indefatigably
okl̪iʂto	not feeling any tiredness ; indomitable
okl̪iʂtokorma	working untiringly, indefatigable
okl̪eɕe	Easily ; without  effort
okʂo	a die ; the axis of the equator
okʂok	the col lar-bone, the clavicle ; a dice player
okʂokorno	a hypotenuse
okʂokriɽa	game of dice ; diceplay
okʂoti	hunter
okʂon	an inauspicious moment or time
okʂot̪	unhurt or unwounded ; unimpaired
okʂot̪d̪eɦ	of a person bearing no wound ; unhurt or uninjured or un wounded
okʂot̪d͡zon̪i	possessing true virginity
okʂod̪ondo	the axis of the equator
okʂod̪̤ura	the front portion of a wheel ; the pole of a cart
okʂod̪̤urt̪o	an expert or clever dice-player
okʂobat	dice-board ; arena for wrestling
okʂobit͡ɕl̪on̪	nutation
okʂobit̪	versed in law or diplomacy ; clever at dice-game
okʂobit̪	a lawyer ; a diplomat
okʂobɽit̪t̪o	the parallels of latitude
okʂom	powerless ; weak
okʂomt̪a	Inability ; weakness
okʂoma	lack of forgiveness or mercy ; intolerance
okʂomal̪a	a string of beads
okʂe̯o	undecaying ; inexhaustible
okʂe̯okirt̪i	undying or immortal fame
okʂe̯obot	an immortal or deathless person
okʂe̯ol̪ok	the abode of the blessed ; heaven
okʂe̯os̪borɡobas̪	dwelling permanently in heaven
okʂor	a syllable ; a symbolic letter
okʂord͡ʑibi	a scribe ; a copyist
okʂorporit͡ɕe̯o	acquaintance with the alphabet ; commencement of education
okʂorbin̪d͡zas̪	the characteristic style of handwriting
okʂormal̪a	the alphabet
okʂord͡zod͡ʑok	a compositor
okʂorikron	transliteration
okʂore okʂore	to the letter ; with strict exactitude, rigorously
okʂorekʰa	One of the parallels of latitude
okʂoɕokt̪i	Axis power
okʂaŋɕo	degrees of latitude, latitude
okʂarl̪obon	rock-salt
okʂi	the eye
okʂikat͡ɕ	lens
okʂiktor	the socket of the eye
okʂiɡot̪	lying within the range of vision ; visible
okʂiɡl̪ok	the eyeball
okʂit̪arka	the pupil of the eye
okʂipokʂmo	eyelash, cilium
okʂipot	the retina
okʂiptol̪	cataract of the eye
okʂiput	the eyelid
okʂibikurnon̪	casting of a sidelong glance ; squinting
okʂibib̤rom	optical illusion
okʂiɕal̪akd͡zo	ophthalmic surgery
okʂin	not lean or emaciated ; not weakened or debilitated
okʂie̯	axial, pertaining to an axis ; an gular
okʂunno	unimpaired or unaffected ; unoffended
okʂunn̪o	Not disappointed or aggrieved ; unaffected
okʂud̪̤a	lack
okʂob̤	not agitated or perturbed ; not disgruntled
okʂob̤	absence of agitation
okʂowɦini	; a company of troops
oks̪id͡ʑen̪	oxygen
okʰondo	not divided into parts ; integral
okʰondot̪a	integrality, wholeness ; indivisibility
okʰondon̪ie̯	irrefutable, indisputable ; unanswerable
okʰondo-mondol̪akar	completely spherical
okʰondit̪	unsevered ; undivided
okʰod̪d͡ze	not fit to be eaten ; unfit for work, grossly inefficient
okʰod̪d͡ze-obod̪d͡ze	good-for-nothing, worthless ; trashy
okʰon̪	Now
okʰol̪	artless, guileless, naive
okʰat̪	undug or not made by digging ; natural
okʰad̪d͡zo	not fit to be eaten ; inedible
okʰil̪	entire, whole
okʰil̪	the world ; the universe
okʰil̪o at̪ma	the Supreme Spirit
okʰil̪oprie̯	loved or adored by all
okʰil̪biɕbo	the entire world ; the universe
okʰuɕi	dissatisfied, displeased
okʰuɕi	dissatisfaction, displeasure
okʰuɕi	Discontented ; dissatisfied
okʰd͡zat̪	not famous ; undistinguished
