অ আ	elementary knowledge ; rudiments of any subject
অই	yonder ; that
অইছন	like this
অঋণী	without any debts ; not indebted
অংশ	part
অংশ	domain
অংশক	a mantissa
অংশ করা	to divide into parts or shares ; apportion
অংশগত	included in a part or share ; relating to part or share
অংশগ্রহণ	participation ; sharing
অংশগ্রাহী	taking a share, participating
অংশগ্রাহী	a sharer, a shareholder ; a participant, a party
অংশত	partly, in part ; partially
অংশন	dividing ; sharing
অংশনীয়	divisible into parts or shares ; to be divided into parts
অংশপ্রেষ	partial pressure
অংশভাক্	en joying a share ; having a claim to a share
অংশভাক্	a share, a shareholder ; a claimant to a share
অংশাংশ	fraction of fraction ; minute fraction
অংশাংশি	division into respective shares
অংশানো	to descend as an inheritance
অংশান্কন	graduation, marking
অংশান্কিত	marked with measured distance or degrees
অংশাবতার	demi-god, partial incarnation
অংশিত	divided into parts or shares ; partitioned
অংশী	entitled to a share
অংশী	a partner or shareholder ; co-sharer
অংশীদা	integral
অংশীদার	a partner or shareholder
অংশীদারি	relating to partnership
অংশীদারি	partnership
অংশীদারি চুক্তি	partnership agreement
অংশীদারিত্ব	partnership ; fellowship
অংশীদারিত্বের	partnership
অংশীদারী	Having partnership
অংশু	ray
অংশুক	fine cotton fabric ; silk cloth
অংশুমান	luminous ; radiant
অংশুমালা	a stream of rays
অংশুমালী	the sun ; the sun-god
অংশুল	having rays ; full of rays
অংস	shoulder
অংসকুট	a bull's hump
অংসফলক	shoulder blade, the scapula
অংসল	bull-necked ; robust, strong
অকচ	alopecoid ; having no hair
অকঞ্চুক	skinless ; achlamydeous
অকটু	not acrid or bitter or pungent
অকঠিন	not hard or difficult ; not severe
অকঠোর	not rigorous or strict ; not rude or severe
অকথন	unspeakable ; inde scribable
অকথন	bad or abusive language ; ob scene words
অকথা-কুকথা	abusive or obscene language
অকথিত	untold ; unspoken
অকথ্য	unspeakable, unutterable ; ob scene, filthy
অকথ্যকথন	uttering foul or filthy language
অকন্টক	thornless ; free from trouble and difficulty
অকন্টকে	in peace and safety ; with nothing standing in the way
অকপট	frank ; straightforward
অকপটচিত্তে	open-heartedly
অকপটতা	frankness ; candour, sincerity,
অকপটে	Frankly ; sincerely
অকম্প	not trembling or trembled ; undaunted
অকরণী	arational quantity or number
অকরণীয়	that which should not be done
অকরুণ	merciless ; unkind
অকরোটি	the acrania
অকর্ণ	earless ; deaf
অকর্ণ	an earless or deaf person
অকর্তব্য	that which should not be done ; improper
অকর্তৃত্ব	lack of ruling or controlling power ; lack of authority
অকর্ম	a misdeed, a mischief ; a useless act
অকর্মক	intransitive
অকর্মক ক্রিয়া	intransitive verb
অকর্মণ্য	disabled ; inefficient
অকর্মণ্যতা	incompetence, inefficiency ; useless ness
অকর্মা	having no employment or occupation ; grossly inefficient
অকর্মার ধাড়ি	an inveterate bungler ; a good-for-nothing or worthless fellow
অকর্ষিত	unploughed, uncultivated ; fallow
অকলঙ্ক	spotless ; clean, pure
অকলঙ্কিত	unstained, unsullied, unblemished ; undefiled, unpolluted
অকলুষ	uncorrupted ; unblemished
অকলুষিত	undefiled, unpolluted ; uncorrupted
অকল্পনীয়	unimaginable ; anecdotal
অকল্পনীয়	unimaginable ; anecdotal
অকল্পিত	not imaginary or fanciful ; real
অকল্পিতপূর্ব	un premeditated ; unthought-of
অকল্যাণ	harm, injury ; spiritual or moral harm
অকল্যাণকর	harmful, injurious ; inauspicious
অকষ্টকল্পনা	spontaneous  imagination or  composition
অকষ্টকল্পিত	not forced or far-fetched
অকস্মাত্	all at once ; unexpectedly, unawares
অকস্মাৎ	Suddenly ; all on a sudden
অকাজ	a useless act ; a mischief
অকাজের কাজি	a mischief maker, wrongdoer
অকাট্য	irrefutable
অকাট্য প্রমাণ	a conclusive evidence
