०	0
१	1
१०	10, X
१०	10
१०००	1000
११	11
११	xi, 11
१२	12
१२	12
१२०	120
१२०	120
१३	13
१३	13
१३०	130
१४	14
१४	14, xiv
१५	15
१५	15
१५००	1500
१५५	155
१५५	155
१६	16
१६	16
१८	18
१८	18
१८६	186
१८६	186
१८६५	1865
१८९	189
१९	19
१९	19
१९०	190
१९०	190
१९८१	1981
१९९८	1998
१९९९	1999
२	2
२०	20
२०	20
२०००	2000
२००१	2001
२००२	2002
२००३	2003
२००४	2004
२०वाँ	20th
२२	22
२३	23
२४	24
२५	25
२६	26
२९	29
३	3
३	3
३०	30
३०	30
३१	31
३१	31
३२	32
३२	32
३३	33
३३	33
३४	34
३४	34
३५	35
३५	35
३६	36
३६	36
३७	37
३७	37
३८	38
३८	38
३९	39
३९	39
४	4
४	4
४०	40
४०	40
४००	400
४१	41
४१	41
४२	42
४२	42
४३	43
४३	43
४४	44
४४	44
४५	45
४५	45
४६	46
४६	46
४७	47
४७	47
४८	48
४८	48
४९	49
४९	49
५	5
५०	50
५०	50
५००	500
५००	500
५१	51
५१	51
५२	52
५२	52
५३	53
५३	53
५८	58
६	6
६	6
६०	60
६०	60
६८	68
७	7th, 7
७१	71
८०	80
80डी	eighty
80द्वद्व	eighty
80वां	eighty
80वीं	eighty
80वें	eighty
80ष्ट	eighty
80सी	eighty
80सीसीडी	eighty
८३	83
८६	86
८६	86
९०	90, xc
९१	91, xci
९२	92, xcii
९३	93
९३	93
९४	94
९४	94
९५	95
९५	95
९६	96
९६	96
९७	97
९७	97
९८	98
९८	98
ātmā	soul
ćarćā	debate
dahī	jealous
dhārā	blade
è	DNA
gājar	carrot
nanã	nun
piña	pin
ॐ	aum, om
अ	drop-out
अकड़	perkiness
अकड़	airs, convulsion
अकड़न	stiffness
अकड़ा	animal disease
अकथ	inexplicable
अकथनीय	unexpressible, unutterable
अकथित	unnamed
अकथ्य	indescribable, unspeakable
अकरण	inactiveness, inaction
अकरणीय	impossible
अकर्म	inactiveness, inactivity
अकर्मक	intransitive
अकर्मण्य	indolent, lethargic
अकर्मण्यता	torpor, laziness
अकलंक	unshaded, unspotted
अकल्पनीय	unthinkable, unimaginable
अकल्पित	unimagined, real
अकशेरुकी	invertebrate
अकशेरुकी	invertebrate
अकसर	mostly, oftentimes
अकस्मात	crash
अकस्मात	circumstantially, by chance
अकस्मात्	suddenly
अकाउंटेंट	accountant
अकाट्य	compelling, unassailable
अकादमिक	academic
अकादमी	academy
अक़ाबा	Aqaba
अकारण	lightly
अकारण	motiveless, unprovoked
अकार्बनिक	inorganic
अकाल	famine
अकाल	untimely, early
अकिंचन	destitute
अकिंचन	pauper
अकुलीन	lowborn
अकुलीन	lowborn
अकुशल	inexpert, inept
अकुशलता	ineptitude
अकूत	incredible
अकृतज्ञ	ungrateful, unthankful
अकृत्रिम	unfeigned, genuine
अकृत्रिमता	unaffectedness
अकेला	by myself, alone
अकेला	one and only, isolated
अकेला	single
अकेलापन	lonesomeness, solitude
अकेले	by himself, single-handedly
अकॉर्डियन	accordion
अक्खड़	bumptious, rude
अक्खड़	abrupt, assuming
अक्खड़	presume
अक्खड़पन	hubris, rebelliousness
अक्खड़पन	bravado, arrogance
अक्टूबर	Oct.
अक्तुबर	october
अक्तूबर	October, Oct
अक्रिय	inert
अक्रियाशील	burn-out
अक्ल	wit, learning ability
अक़्ल	Wisdom, intellect
अक्लमन्द	rational
अक्लमंद	intellect
अक़्लमंद	brainy, strong-minded
अक्लमंदी	wisdom
अक़्लमंदी	sagacity, sanity
